CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3243	4.7714	0	99.81	123.64		38	1	20.92	BX	99.81	609349	0	5.91	LB	 65836-1-01	PORK, 10-OZ RIB CHOP CC 1410A			20.92	2	20	5.91	4.7714	20.92	2	06/27/2011
3243	4.7714	0	50.48	67.82		39	1	10.58	BX	50.48	609349	0	6.41	LB	 65874-1-01	PORK, 8-OZ RIB CHOP CC FRENCHD			10.58	1	10	6.41	4.7714	10.58	1	06/27/2011
3243	4.7714	0	100.39	134.87		40	1	21.04	BX	100.39	609349	0	6.41	LB	 65876-1-01	PORK, 10-OZ RIB CHOP CC FRNCHD			21.04	2	20	6.41	4.7714	21.04	2	06/27/2011
3243	6.15	0	490.91	662.51		41	1	79.82	BX	490.91	609349	0	8.3	LB	 35115-1-01	BEEF, 16-OZ CHK SHORT RIB BNLS			79.82	8	80	8.3	6.15	79.82	8	06/27/2011
3243	2.32	0	48.02	56.51		42	1	20.7	BX	48.02	609349	0	2.73	LB	 65981-1-01	PORK, LOIN TENDR OUT CC 11-RIB			20.7	1	28	2.73	2.32	20.7	1	06/27/2011
3243	2.45	0	40.92	48.1		43	1	16.7	BX	40.92	609349	0	2.88	LB	 65985-1-01	PORK, LOIN CANADIAN BNLS 414			16.7	1	32	2.88	2.45	16.7	1	06/27/2011
3243	6.4	0	198.9	252.68		44	1	31.08	BX	198.9	609349	0	8.13	LB	 35542-1-01	FLAT IRON STK 8-OZ FRESH CH			31.08	3	30	8.13	6.4	31.08	3	06/27/2011
2125	2.5	0	5.1	0		1	1	2.04	LB	5.1	609354	0	-1	LB	 42274-1-01	BEEF, PEPPER STK STRIP/RIB EYE			2.04	2	2	0	2.5	2.04	1	06/27/2011
2125	4	0	2.96	0		2	1	0.74	PC	2.96	609354	0	-1	LB	 35962-1-01	BEEF, OUTER SKIRT STEAK 6-OZ			0.74	2	0.74	0	4	0.74	1	06/27/2011
2125	5.5727	0	7.91	0		3	1	1.42	PC	7.91	609354	0	-1	LB	 14541-1-01	TOP BUTT CAP (LONDON BROIL) PR			1.42	1	1	0	5.5727	1.42	1	06/27/2011
2125	4	0	6.32	0		4	1	1.58	PC	6.32	609354	0	-1	LB	 14145-1-01	STRIPSTK, 12-OZ BNLS VN 1 SIDE			1.58	2	1.5	0	4	1.58	1	06/27/2011
2125	0	0	0	0		0	2	0		0	609354	0	0		     0-0-00		ATTN: RUBEN	SHIP WITH OTHER ORDER	0	0	0	0	0	0	0	06/27/2011
3832	17.0182	19.9	4188.18	4897.39		1	1	246.1	PC	4188.18	609362	0	19.9	LB	 15706-1-01	BEEF, RIB CHOP 16/18-OZ PR			246.1	220	220	19.9	17.0182	246.1	22	06/27/2011
3832	17.2	22.25	1035.11	1339.01		2	1	60.18	PC	1035.11	609362	0	22.25	LB	 14193-1-01	STRIPSTK, 14-OZ CC NV PR			60.18	70	61.25	22.25	17.2	60.18	7	06/27/2011
