LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType
201103230719	03/23/2011	03/23/2011	1442	 35409-1-01	0025960077	5.4566	1	0.62	11845275	1   	0		3
201103230720	03/23/2011	03/23/2011	1443	 35032-1-01	0025960078	17.75	1	12.28	11845276	1   	0		3
201103230720	03/23/2011	03/23/2011	1444	 35212-1-01	0025960079	17.75	1	14.04	11845277	1   	0		3
201103230720	03/23/2011	03/23/2011	1445	 35212-1-01	0025960080	17.75	1	13.98	11845278	1   	0		3
201103230721	03/23/2011	03/23/2011	1446	 35242-1-01	0025960081	16.8708	1	12.78	11845279	1   	0		3
201103230721	03/23/2011	03/23/2011	1447	 35242-1-01	0025960082	16.8708	1	13.12	11845280	1   	0		3
201103230721	03/23/2011	03/23/2011	1448	 15529-1-01	0025960083	14.4086	1	15.14	11845281	1   	0		3
201103230727	03/23/2011	03/23/2011	1449	 15726-1-01	0025960084	15.7354	1	14.76	11845282	1   	0		3
201103230727	03/23/2011	03/23/2011	1450	 15726-1-01	0025960085	15.7354	1	14.98	11845283	1   	0		3
201103230727	03/23/2011	03/23/2011	1451	 15726-1-01	0025960086	15.7354	1	14.48	11845284	1   	0		3
201103230727	03/23/2011	03/23/2011	1452	 15726-1-01	0025960087	15.7354	1	14.42	11845285	1   	0		3
201103230729	03/23/2011	03/23/2011	1453	 38114-1-01	0025960088	17.75	1	10.8	11845286	1   	0		3
201103230730	03/23/2011	03/23/2011	1454	 42315-1-01	0025960089	14.93	1	9.76	11845287	1   	0		3
201103230730	03/23/2011	03/23/2011	1455	 42315-1-01	0025960090	14.93	1	9.72	11845288	1   	0		3
201103230730	03/23/2011	03/23/2011	1456	 42315-1-01	0025960091	14.93	1	9.88	11845289	1   	0		3
201103230731	03/23/2011	03/23/2011	1457	 35028-1-01	0025960092	17.75	1	12.38	11845290	1   	0		3
201103230731	03/23/2011	03/23/2011	1458	 35028-1-01	0025960093	17.75	1	12.42	11845291	1   	0		3
