LineWarehouse	LineCode	LineType	Comments
1	3901	1	Dave Kruger
17	4   	5	scale004
1	4101	1	Whse 1 Phy Receiving
1	4198	1	Danny Velasquez
1	4202	1	ANTONIO THOMPKINS
17	4505	1	Whse5 Phy Receiving
17	4606	1	Whse 6 Phy Receiving
17	4707	1	Whse7 Phy Receiving
1	4796	1	DANNY VELAZQUEZ FRZR
1	5   	3	scale001
1	500 	5	Prodctn print only
5	511 	1	Inv Rec Scanner 1
5	5110	1	Inv Rec Scanner 10
5	5111	1	Inv Rec Scanner 11
5	5112	1	Inv Rec Scanner 12
5	5113	1	INV RECD SCANNER 13
5	5114	1	INV RECD SCANNER 14
5	5115	1	INV RECD SCANNER 15
5	5116	1	INV RECD SCANNER 16
5	5117	1	INV RECD SCANNER 17
5	5118	1	INV RECD SCANNER 18
5	5119	1	inv rec scanner 19
5	512 	1	Inv Rec Scanner 2
5	5120	1	inv rec scanner 20
5	513 	1	Inv Rec Scanner 3
5	514 	1	Inv Rec Scanner 4
5	515 	1	Inv Rec Scanner 5
6	516 	1	Inv Rec Scanner 6
5	517 	1	Inv Rec Scanner 7
5	518 	1	Inv Rec Scanner 8
6	519 	1	Inv Rec Scanner 9
17	521 	2	R/M USAGE SCANNER 1
17	5210	2	R/M USAGE SCANNER 10
17	5211	2	R/M USAGE SCANNER 11
17	5212	2	R/M USAGE SCANNER 12
17	5213	2	USAGE SCANNER 13
17	5214	2	USAGE SCANNER 14
17	5215	2	USAGE SCANNER 15
17	5216	2	USAGE SCANNER 16
17	5217	2	USAGE SCANNER 17
17	5218	2	USAGE SCANNER 18
17	5219	2	usage scanner 19
17	522 	2	R/M USAGE SCANNER 2
17	5220	2	usage scanner 20
17	523 	2	R/M USAGE SCANNER 3
17	524 	2	R/M USAGE SCANNER 4
17	525 	2	R/M USAGE SCANNER 5
17	526 	2	R/M USAGE SCANNER 6
17	527 	2	R/M USAGE SCANNER 7
17	528 	2	R/M USAGE SCANNER 8
17	529 	2	R/M USAGE SCANNER 9
17	541 	4	del inv scanner1
17	5419	4	delete scanner 19
17	542 	4	del inv scanner 2
