LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType	PO_Number	Warehouse
201106201031	06/20/2011	06/20/2011	3602	 35505-1-01	0026061857	8.5771	1	9.64	12040960	1   	0		3		1
201106201031	06/20/2011	06/20/2011	3603	 35505-1-01	0026061858	8.5771	1	9.76	12040961	1   	0		3		1
201106201031	06/20/2011	06/20/2011	3604	 35505-1-01	0026061859	8.5771	1	9.52	12040962	1   	0		3		1
201106201031	06/20/2011	06/20/2011	3605	 38411-1-01	0026061860	4.9571	1	10.2	12040963	1   	0		3		1
201106201031	06/20/2011	06/20/2011	3606	 38411-1-01	0026061861	4.9571	1	10.44	12040964	1   	0		3		1
201106201032	06/20/2011	06/20/2011	3607	 38411-1-01	0026061862	4.9571	1	10.4	12040965	1   	0		3		1
201106201032	06/20/2011	06/20/2011	3608	 38411-1-01	0026061863	4.9571	1	10.42	12040966	1   	0		3		1
201106201033	06/20/2011	06/20/2011	3609	 38411-1-01	0026061864	4.9571	1	10.38	12040967	1   	0		3		1
201106201033	06/20/2011	06/20/2011	3610	 42362-1-01	0026061865	15.11	1	10.74	12040968	1   	0		3		1
201106201034	06/20/2011	06/20/2011	3611	 39768-1-01	0026061866	5.6095	1	10.28	12040969	1   	0		3		1
201106201034	06/20/2011	06/20/2011	3612	 39768-1-01	0026061867	5.6095	1	10.28	12040970	1   	0		3		1
201106201035	06/20/2011	06/20/2011	3613	 14114-1-01	0026061868	18.8607	1	7.98	12040971	1   	0		3		1
201106201035	06/20/2011	06/20/2011	3614	 14114-1-01	0026061869	18.8607	1	8	12040972	1   	0		3		1
201106201035	06/20/2011	06/20/2011	3615	 14114-1-01	0026061870	18.8607	1	7.9	12040973	1   	0		3		1
201106201036	06/20/2011	06/20/2011	3616	 38411-1-01	0026061871	4.9571	1	10.72	12040974	1   	0		3		1
201106201038	06/20/2011	06/20/2011	3617	 14114-1-01	0026061872	18.8607	1	7.9	12040975	1   	0		3		1
201106201038	06/20/2011	06/20/2011	3618	 14114-1-01	0026061873	18.8607	1	7.86	12040976	1   	0		3		1
201106201038	06/20/2011	06/20/2011	3619	 14114-1-01	0026061874	18.8607	1	7.9	12040977	1   	0		3		1
201106201039	06/20/2011	06/20/2011	3620	 15333-1-01	0026061875	29.83	1	9.56	12040978	1   	0		3		1
201106201039	06/20/2011	06/20/2011	3621	 15333-1-01	0026061876	29.83	1	9.68	12040979	1   	0		3		1
201106201040	06/20/2011	06/20/2011	3622	 16061-1-01	0026061877	18.3642	1	15.18	12040980	1   	0		3		1
201106201040	06/20/2011	06/20/2011	3623	 16061-1-01	0026061878	18.3642	1	15.16	12040981	1   	0		3		1
201106201040	06/20/2011	06/20/2011	3624	 16061-1-01	0026061879	18.3642	1	15.2	12040982	1   	0		3		1
201106201041	06/20/2011	06/20/2011	3625	 35067-1-01	0026061880	16.1993	1	8.34	12040983	1   	0		3		1
201106201041	06/20/2011	06/20/2011	3626	 35067-1-01	0026061881	16.1993	1	8.32	12040984	1   	0		3		1
201106201041	06/20/2011	06/20/2011	3627	 35067-1-01	0026061882	16.1993	1	8.34	12040985	1   	0		3		1
201106201041	06/20/2011	06/20/2011	3628	 35067-1-01	0026061883	16.1993	1	8.34	12040986	1   	0		3		1
201106201042	06/20/2011	06/20/2011	3629	 35067-1-01	0026061884	16.1993	1	8.34	12040987	1   	0		3		1
