LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType	CustomerCode	PO_Number	Warehouse	OrderNumber
201106010631	06/01/2011	06/01/2011	966	  1368-1-01	23206829  	8.45	1	62.4	12000013	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	967	  1368-1-01	23206838  	8.45	1	64.7	12000014	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	968	  1368-1-01	23206842  	8.45	1	65.1	12000015	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	969	  1368-1-01	23206852  	8.45	1	74.5	12000016	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	970	  1368-1-01	23219900  	8.45	1	62.7	12000017	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	971	  1368-1-01	23219903  	8.45	1	60.3	12000018	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	972	  1368-1-01	23219916  	8.45	1	62.5	12000019	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	973	  1368-1-01	23219921  	8.45	1	62.4	12000020	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	974	  1368-1-01	23219926  	8.45	1	57.5	12000021	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	975	  1368-1-01	23219928  	8.45	1	64.9	12000022	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	976	  1368-1-01	23219941  	8.45	1	73.4	12000023	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	977	  1368-1-01	23219965  	8.45	1	65.4	12000024	3901	13430	00005052        	1	0	M93263    	1	0
201106010631	06/01/2011	06/01/2011	978	  1368-1-01	23220015  	8.45	1	69.7	12000025	3901	13430	00005052        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	979	  1168-1-01	21169314  	7.49	1	81.3	12000026	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	980	  1168-1-01	21201534  	7.49	1	78.5	12000027	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	981	  1168-1-01	22286310  	7.49	1	84.1	12000028	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	982	  1168-1-01	22286317  	7.49	1	82.3	12000029	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	983	  1168-1-01	22286346  	7.49	1	84.2	12000030	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	984	  1168-1-01	22301546  	7.49	1	86.1	12000031	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	985	  1168-1-01	22301548  	7.49	1	86.7	12000032	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	986	  1168-1-01	23277617  	7.49	1	80.1	12000033	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	987	  1168-1-01	23277626  	7.49	1	76.7	12000034	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	988	  1168-1-01	23277631  	7.49	1	76.3	12000035	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	989	  1168-1-01	23277632  	7.49	1	77.9	12000036	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	990	  1168-1-01	23277643  	7.49	1	78.4	12000037	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	991	  1168-1-01	23277647  	7.49	1	77.2	12000038	3901	13430	00005050        	1	0	M93263    	1	0
201106010637	06/01/2011	06/01/2011	992	  1168-1-01	23277708  	7.49	1	83.1	12000039	3901	13430	00005050        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	993	  1168-1-01	21201476  	7.49	1	75.9	12000040	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	994	  1168-1-01	21201481  	7.49	1	82.8	12000041	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	995	  1168-1-01	21201499  	7.49	1	81.4	12000042	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	996	  1168-1-01	21201552  	7.49	1	78.7	12000043	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	997	  1168-1-01	21201598  	7.49	1	80.5	12000044	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	998	  1168-1-01	21201619  	7.49	1	80.5	12000045	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	999	  1168-1-01	22286305  	7.49	1	80.2	12000046	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	1000	  1168-1-01	22286328  	7.49	1	77.3	12000047	3901	13430	00005049        	1	0	M93263    	1	0
201106010638	06/01/2011	06/01/2011	1001	  1168-1-01	22286342  	7.49	1	87.1	12000048	3901	13430	00005049        	1	0	M93263    	1	0
