CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3266	17.4045	0	354.35	419.82		5	1	20.36	BX	354.35	605637	0	20.62	LB	 15706-1-01	BEEF, RIB CHOP 16/18-OZ PR			20.36	2	20	20.62	17.4045	20.36	2	05/06/2011
3266	7.2706	0	228.16	274.26		6	1	31.38	BX	228.16	605637	0	8.74	LB	 14531-1-01	BEEF, TOP BUTT 14-OZ CC PR			31.38	3	31.5	8.74	7.2706	31.38	3	05/06/2011
3266	7.5	0	307.35	515.53		7	1	40.98	BX	307.35	605637	0	12.58	LB	 34211-1-01	STRIPSTK, 16-OZ CC BNL 1" CH			40.98	4	40	12.58	7.5	40.98	4	05/06/2011
3266	8.9333	0	80.4	114.39		8	1	9	BX	80.4	605637	0	12.71	LB	 34303-1-01	STRIPSTK, 14-OZ CC BI 1" CH			9	1	8.75	12.71	8.9333	9	1	05/06/2011
3266	4.6	0	50.05	66.59		9	1	10.88	BX	50.05	605637	0	6.12	LB	 65877-1-01	PORK, 12-OZ RIB CHOP CC FRNCHD			10.88	1	10.5	6.12	4.6	10.88	1	05/06/2011
3266	7.0302	0	209.92	256.8		1	1	29.86	BX	209.92	605638	0	8.6	LB	 33153-1-01	BEEF, TOP BUTT 5-OZ BASEBALL			29.86	3	30	8.6	7.0302	29.86	3	05/06/2011
3379	4.6	0	2.48	3.01		1	1	0.54	PC	2.48	605639	0	5.58	LB	 65834-1-01	PORK, 8-OZ RIB CHOP CC 1410A			0.54	1	0.5	5.58	4.6	0.54	1	05/06/2011
3379	4.6	0	2.67	3.24		2	1	0.58	PC	2.67	605639	0	5.58	LB	 65835-1-01	PORK, 9-OZ RIB CHOP CC 1410A			0.58	1	0.56	5.58	4.6	0.58	1	05/06/2011
3670	19.94	0	777.66	842.4		1	1	39	BX	777.66	605640	0	21.6	LB	 11452-1-01	BEEF, RIB EYE ROLL BNLS			39	1	27	21.6	19.94	39	1	05/06/2011
3670	8.83	0	228.7	326.34		2	1	25.9	BX	228.7	605640	0	12.6	LB	 43771-1-01	BEEF, OUTER SKIRTS 24#/BX			25.9	1	24	12.6	8.83	25.9	1	05/06/2011
