PO_Number	ProductCode	RecordType	OrderQuantity	OrderUM	PricingUM	ReceiptDate	UnitPrice	EstWeight	WeightReceived	AltQuantityReceived	EstAltQuantity	EstPrcQuantity	PrcQuantityReceived	AmountInvoiced	Description1	Description2	ProductText1	ProductText2
     93191	  2299-1-06	0	20	BX 	LB 	03/21/2011	2.1	1400.56	1409.9	20	20	1400.56	1409.9	2960.79	                              	                              	                              	                              
     93191	  1752-1-06	0	5	BX 	LB 	03/21/2011	9.05	50	413.7	5	5	50	413.7	3743.99	                              	                              	                              	                              
     93191	  2009-1-06	0	50	BX 	LB 	03/21/2011	8.45	3550.13	1002.5	12	50	3550.13	1002.5	8471.13	                              	                              	                              	                              
     93191	  1368-1-06	0	30	BX 	LB 	03/21/2011	9.4	1744.19	985.2	14	30	1744.19	985.2	9260.88	                              	                              	                              	                              
     93191	  1038-1-06	0	6	BX 	LB 	03/21/2011	5.25	450.01	481.4	6	6	450.01	481.4	2527.35	                              	                              	                              	                              
     93191	  1634-1-06	0	55	BX 	LB 	03/21/2011	8	4125.1	1992.8	55	55	4125.1	1992.8	15942.4	                              	                              	                              	                              
     93206	  1390-1-06	0	120	BX 	LB 	03/21/2011	4.3	6600.3	7478.9	125	120	6600.3	7478.9	32159.27	                              	                              	                              	                              
     93211	  1630-1-02	0	6	BX 	LB 	03/21/2011	11.75	456.03	212.6	5	6	456.03	212.6	2498.05	                              	                              	                              	                              
     93211	  1603-1-02	0	6	BX 	LB 	03/21/2011	9.5	450.01	394.1	5	6	450.01	394.1	3743.95	                              	                              	                              	                              
     93211	  1168-1-02	0	5	BX 	LB 	03/21/2011	9.5	352.11	326.9	4	5	352.11	326.9	3105.55	                              	                              	                              	                              
     93212	  1038-1-01	0	10	BX 	LB 	03/21/2011	5.55	750.02	833.5	10	10	750.02	833.5	4625.93	                              	                              	                              	                              
     93212	  1142-1-01	0	40	BX 	LB 	03/21/2011	5.15	3200	3168.7	40	40	3200	3168.7	16318.81	                              	                              	                              	                              
     93212	  1798-1-01	0	25	BX 	LB 	03/21/2011	5.55	1250	1826.6	30	25	1250	1826.6	10137.63	                              	                              	                              	                              
     93212	  1041-1-01	0	20	BX 	LB 	03/21/2011	5.05	1100.05	1774.3	29	20	1100.05	1774.3	8960.22	                              	                              	                              	                              
     93212	  1137-1-01	0	25	BX 	LB 	03/21/2011	8.45	1950.08	1508	22	25	1950.08	1508	12742.6	                              	                              	                              	                              
     93212	  1630-1-01	0	35	BX 	LB 	03/21/2011	11.1	2660.18	2743.8	37	35	2660.18	2743.8	30456.18	                              	                              	                              	                              
     93236	  1634-1-06	0	150	BX 	LB 	03/21/2011	8.55	11250.2	5654.2	150	150	11250.2	5654.2	48343.41	                              	                              	                              	                              
     93238	  4215-1-01	0	6	BX 	LB 	03/21/2011	1.94	288	260.7	6	6	288	260.7	505.76	                              	                              	                              	                              
     93238	  4318-1-01	0	30	BX 	LB 	03/21/2011	1.97	1500	1793.8	30	30	1500	1793.8	3533.79	                              	                              	                              	                              
     93238	  4216-1-01	0	2	BX 	LB 	03/21/2011	1.7	126	137.4	2	2	126	137.4	233.58	                              	                              	                              	                              
     93238	  4410-1-01	0	3	BX 	LB 	03/21/2011	2.13	126	157.9	3	3	126	157.9	336.33	                              	                              	                              	                              
     93238	  4409-1-01	0	3	BX 	LB 	03/21/2011	3.41	30	85.6	3	3	30	85.6	291.9	                              	                              	                              	                              
     93238	  4244-1-01	0	7	BX 	LB 	03/21/2011	2.89	105	101.6	7	7	105	101.6	293.62	                              	                              	                              	                              
     93245	  1634-1-06	0	200	BX 	LB 	03/21/2011	8.55	15000.3	15533.7	200	200	15000.3	15533.7	132813.14	                              	                              	                              	                              
     93247	  1636-1-06	0	50	BX 	LB 	03/21/2011	8.35	3500.18	4162.5	50	50	3500.18	4162.5	34756.88	                              	                              	                              	                              
     93249	  1636-1-06	0	50	BX 	LB 	03/21/2011	8.29	3500.18	3724.5	50	50	3500.18	3724.5	30876.11	                              	                              	                              	                              
     93264	 66405-1-01	0	40	BX 	LB 	03/21/2011	2.64	600.01	600	40	40	600.01	600	1584	                              	                              	                              	                              
     93266	  4458-1-01	0	15	BX 	LB 	03/21/2011	2.85	600	1066.3	15	15	600	1066.3	3038.96	                              	                              	                              	                              
     93271	  1688-1-01	0	8	BX 	LB 	03/21/2011	4.35	512	698.65	8	8	512	698.65	3039.13	                              	                              	                              	                              
     93280	 42130-1-01	0	6	BX 	LB 	03/21/2011	3.05	60	267.75	6	6	60	267.75	816.64	                              	                              	                              	                              
     93280	 44140-1-01	0	5	BX 	LB 	03/21/2011	3.68	50	50	5	5	50	50	184	                              	                              	                              	                              
     93281	 74004-1-01	0	2	BX 	LB 	03/21/2011	4.23	40	34.5	2	2	40	34.5	145.94	                              	                              	                              	                              
     93285	 78063-1-01	0	102	BX 	BX 	03/21/2011	0	102	102	102	102	102	102	0	                              	                              	                              	                              
     93457	  4001-1-01	0	10	BX 	LB 	03/21/2011	15.59	600.02	535.44	10	10	600.02	535.44	8347.51	                              	                              	                              	                              
     93457	  4011-1-01	0	5	BX 	LB 	03/21/2011	7.89	100	114.54	5	5	100	114.54	903.72	                              	                              	                              	                              
     93457	  5038-1-01	0	3	BX 	LB 	03/21/2011	22.5	96	107.14	3	3	96	107.14	2410.65	                              	                              	                              	                              
     93467	 11383-1-01	0	1	BX 	LB 	03/21/2011	3.3	10	10	1	1	10	10	33	                              	                              	                              	                              
     93467	 11359-1-01	0	1	BX 	LB 	03/21/2011	3.3	10	10	1	1	10	10	33	                              	                              	                              	                              
     93467	 99999-1-01	0	1	BX 	LB 	03/21/2011	3.3	1	10	1	1	1	10	33	PRIME PATTY 3-1	                              	                              	                              
     93468	  4011-1-01	0	10	BX 	LB 	03/21/2011	7.3	200	243.2	10	10	200	243.2	1775.36	                              	                              	                              	                              
     93468	 55048-1-01	0	8	BX 	LB 	03/21/2011	8.95	400	325.1	8	8	400	325.1	2909.65	                              	                              	                              	                              
     93470	 78119-1-01	0	40	BX 	LB 	03/21/2011	3.05	400	400	40	40	400	400	1220	                              	                              	                              	                              
     93470	 11359-1-01	0	1	BX 	LB 	03/21/2011	3.3	10	10	1	1	10	10	33	                              	                              	                              	                              
     93785	  1390-1-06	0	250	BX 	LB 	03/21/2011	3.9	13750.6	14997.5	250	250	13750.6	14997.5	58490.25	                              	                              	                              	                              
M93241    	  1368-1-05	0	40	BX 	LB 	03/21/2011	9.4975	2320.05	2592	40	40	2320.05	2592	24617.52	                              	                              	                              	                              
M93241    	  1444-1-05	0	15	BX 	LB 	03/21/2011	9.6475	870.02	1075.7	15	15	870.02	1075.7	10377.82	                              	                              	                              	                              
M93241    	  1168-1-05	0	20	BX 	LB 	03/21/2011	7.8275	1500.04	1553.1	20	20	1500.04	1553.1	12156.89	                              	                              	                              	                              
M93241    	  2009-1-05	0	30	BX 	LB 	03/21/2011	7.7975	2130.08	2288.6	30	30	2130.08	2288.6	17845.36	                              	                              	                              	                              
M93663    	  1368-1-01	0	55	BX 	LB 	03/21/2011	9.15	3197.67	2681.2	41	55	3197.67	2681.2	24532.98	                              	                              	                              	                              
M93663    	  1444-1-01	0	10	BX 	LB 	03/21/2011	8.45	602.41	735.9	10	10	602.41	735.9	6218.36	                              	                              	                              	                              
M93663    	  1168-1-01	0	30	BX 	LB 	03/21/2011	8.5	2112.68	2552.8	30	30	2112.68	2552.8	21698.8	                              	                              	                              	                              
M93663    	  2009-1-01	0	40	BX 	LB 	03/21/2011	8.18	2840.1	2277.1	30	40	2840.1	2277.1	18626.68	                              	                              	                              	                              
