CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
3139	15.7354	16.77	1161.59	1237.96		12	1	73.82	BX	1161.59	602228	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			73.82	5	71.88	16.77	15.7354	73.82	5	03/21/2011
3139	15.6356	19.13	612.29	749.13		13	1	39.16	BX	612.29	602228	0	19.13	LB	 34442-1-01	FILET, 16-OZ BI CH MORTONS			39.16	4	40	19.13	15.6356	39.16	4	03/21/2011
3139	17.9187	19.03	535.06	568.24		14	1	29.86	BX	535.06	602228	0	19.03	LB	 14161-1-01	STRIPSTK, 12-OZ CC NV 1/2" PR			29.86	2	30	19.03	17.9187	29.86	2	03/21/2011
4114	17.9187	19.03	264.48	280.88		1	1	14.76	BX	264.48	602229	0	19.03	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2" PR			14.76	1	15	19.03	17.9187	14.76	1	03/21/2011
4114	17.9187	19.06	807.78	859.22		2	1	45.08	BX	807.78	602229	0	19.06	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2" PR			45.08	3	45	19.06	17.9187	45.08	3	03/21/2011
4114	17.9187	19.06	319.31	339.65		3	1	17.82	BX	319.31	602229	0	19.06	LB	 16084-1-01	BEEF, P-HOUSE 48-OZ MORTON PR			17.82	2	18	19.06	17.9187	17.82	2	03/21/2011
4114	16.8708	17.59	492.46	513.45		4	1	29.19	BX	492.46	602229	0	17.59	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			29.19	2	30	17.59	16.8708	29.19	2	03/21/2011
4114	14.4086	15.66	866.53	941.79		5	1	60.14	BX	866.53	602229	0	15.66	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			60.14	4	60	15.66	14.4086	60.14	4	03/21/2011
4114	24.5467	25.94	320.09	338.26		6	1	13.04	BX	320.09	602229	0	25.94	LB	 55285-1-01	LAMB, RIB CHOP 6-OZ FRD CH			13.04	1	12.38	25.94	24.5467	13.04	1	03/21/2011
4114	8.3165	9.19	134.73	148.88		7	1	16.2	PC	134.73	602229	0	9.19	LB	 12124-1-01	BEEF, EXPORT RIB 14/17 PR			16.2	1	17	9.19	8.3165	16.2	1	03/21/2011
4114	16.8708	17.59	1543.33	1609.13		8	1	91.48	BX	1543.33	602229	0	17.59	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			91.48	7	89.25	17.59	16.8708	91.48	7	03/21/2011
4114	2.83	3.82	135.84	183.36		9	1	48	LB	135.84	602229	0	3.82	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			48	48	48	3.82	2.83	48	3	03/21/2011
4114	2.74	3.34	82.2	100.2		10	1	30	BX	82.2	602229	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			30	2	30	3.34	2.74	30	2	03/21/2011
4114	15.7354	16.77	1141.45	1216.5		11	1	72.54	BX	1141.45	602229	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			72.54	5	71.88	16.77	15.7354	72.54	5	03/21/2011
4114	15.6356	19.13	309.27	378.39		12	1	19.78	BX	309.27	602229	0	19.13	LB	 34442-1-01	FILET, 16-OZ BI CH MORTONS			19.78	2	20	19.13	15.6356	19.78	2	03/21/2011
4114	0	4.5	0	4.5		13	1	1	BX	0	602229	0	4.5	BX	 78063-1-01	LOBSTER, TAIL 7/8-OZ WEST AUST			1	1	1	4.5	0	1	1	03/21/2011
4114	0	6.3	0	6.3		14	1	1	BX	0	602229	0	6.3	BX	 77002-1-01	CHILEAN SEA BASS			1	1	1	6.3	0	1	1	03/21/2011
4114	17.9187	19.03	535.41	568.62		15	1	29.88	BX	535.41	602229	0	19.03	LB	 14161-1-01	STRIPSTK, 12-OZ CC NV 1/2" PR			29.88	2	30	19.03	17.9187	29.88	2	03/21/2011
1469	17.9187	19.03	808.13	858.25		1	1	45.1	BX	808.13	602230	0	19.03	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2" PR			45.1	3	45	19.03	17.9187	45.1	3	03/21/2011
1469	17.9187	19.06	538.28	572.56		2	1	30.04	BX	538.28	602230	0	19.06	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2" PR			30.04	2	30	19.06	17.9187	30.04	2	03/21/2011
1469	16.8708	17.59	1003.14	1045.9		3	1	59.46	BX	1003.14	602230	0	17.59	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			59.46	4	60	17.59	16.8708	59.46	4	03/21/2011
1469	14.4086	15.66	436.87	474.81		4	1	30.32	BX	436.87	602230	0	15.66	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			30.32	2	30	15.66	14.4086	30.32	2	03/21/2011
1469	11.4	12.31	66.12	71.4		5	1	5.8	BX	66.12	602230	0	12.31	LB	 55205-1-01	LAMB, RIB CHOP 1-RIB FR'D NZ			5.8	1	20	12.31	11.4	5.8	1	03/21/2011
1469	16.8708	17.59	2193.55	2287.05		6	1	130.02	BX	2193.55	602230	0	17.59	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			130.02	10	127.5	17.59	16.8708	130.02	10	03/21/2011
1469	2.83	3.82	45.28	61.12		7	1	16	LB	45.28	602230	0	3.82	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			16	16	16	3.82	2.83	16	1	03/21/2011
1469	2.74	3.34	41.1	50.1		8	1	15	BX	41.1	602230	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			15	1	15	3.34	2.74	15	1	03/21/2011
1469	9.2035	10.07	246.65	269.88		9	1	26.8	PC	246.65	602230	0	10.07	LB	 10009-1-01	BEEF, EXPORT RIB 5 BONE PR			26.8	2	26	10.07	9.2035	26.8	1	03/21/2011
1469	15.7354	16.77	687.96	733.18		10	1	43.72	BX	687.96	602230	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			43.72	3	43.13	16.77	15.7354	43.72	3	03/21/2011
1469	15.6356	19.13	155.11	189.77		11	1	9.92	BX	155.11	602230	0	19.13	LB	 34442-1-01	FILET, 16-OZ BI CH MORTONS			9.92	1	10	19.13	15.6356	9.92	1	03/21/2011
1469	0	6.3	0	6.3		12	1	1	BX	0	602230	0	6.3	BX	 77002-1-01	CHILEAN SEA BASS			1	1	1	6.3	0	1	1	03/21/2011
2132	7.5	0	6.75	0		1	1	0.9	PC	6.75	602231	0	-1	LB	 34190-1-01	STRIPSTK, 14-OZ CC BNLS			0.9	1	0.88	0	7.5	0.9	1	03/21/2011
2132	11.0422	0	10.16	0		2	1	0.92	PC	10.16	602231	0	-1	LB	 24123-1-01	STRIPSTK, 14-OZ CAB CC NV			0.92	1	0.88	0	11.0422	0.92	1	03/21/2011
2132	22.2045	0	11.99	0		3	1	0.54	PC	11.99	602231	0	-1	LB	 26180-1-01	FILET, 8-OZ 1190B BARREL CUT			0.54	1	0.5	0	22.2045	0.54	1	03/21/2011
2132	17.75	0	9.94	0		4	1	0.56	PC	9.94	602231	0	-1	LB	 38114-1-01	FILET, 8-OZ 1190B CC CH			0.56	1	0.5	0	17.75	0.56	1	03/21/2011
2132	9.2481	0	12.95	0		5	1	1.4	PC	12.95	602231	0	-1	LB	 35807-1-01	BEEF, RIB CHOP 20/22-OZ BI CH			1.4	1	1.38	0	9.2481	1.4	1	03/21/2011
2132	9.9037	0	13.07	0		6	1	1.32	PC	13.07	602231	0	-1	LB	 25540-1-01	BEEF, RIB CHOP 20/22-OZ BI CAB			1.32	1	1.31	0	9.9037	1.32	1	03/21/2011
1476	17.9187	19.03	1065.8	1131.9		1	1	59.48	BX	1065.8	602232	0	19.03	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2" PR			59.48	4	60	19.03	17.9187	59.48	4	03/21/2011
1476	17.9187	19.06	1080.86	1149.7		2	1	60.32	BX	1080.86	602232	0	19.06	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2" PR			60.32	4	60	19.06	17.9187	60.32	4	03/21/2011
1476	17.9187	19.06	156.97	166.97		3	1	8.76	BX	156.97	602232	0	19.06	LB	 16084-1-01	BEEF, P-HOUSE 48-OZ MORTON PR			8.76	1	9	19.06	17.9187	8.76	1	03/21/2011
1476	16.8708	17.59	1733.31	1807.2		4	1	102.74	BX	1733.31	602232	0	17.59	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			102.74	7	105	17.59	16.8708	102.74	7	03/21/2011
1476	14.4086	15.66	1733.35	1883.9		5	1	120.3	BX	1733.35	602232	0	15.66	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			120.3	8	120	15.66	14.4086	120.3	8	03/21/2011
1476	24.5467	25.94	313.71	331.51		6	1	12.78	BX	313.71	602232	0	25.94	LB	 55285-1-01	LAMB, RIB CHOP 6-OZ FRD CH			12.78	1	12.38	25.94	24.5467	12.78	1	03/21/2011
1476	5	7.81	128.4	200.56		7	1	25.68	BX	128.4	602232	0	7.81	LB	 32253-1-01	BEEF, TENDER TAIL 1190A CHOICE			25.68	2	24	7.81	5	25.68	2	03/21/2011
1476	16.8708	17.59	1721.51	1794.88		8	1	102.04	BX	1721.51	602232	0	17.59	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			102.04	8	102	17.59	16.8708	102.04	8	03/21/2011
1476	2.83	3.82	90.56	122.24		9	1	32	LB	90.56	602232	0	3.82	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			32	32	32	3.82	2.83	32	2	03/21/2011
1476	3.2	3.8	48	57		10	1	15	BX	48	602232	0	3.8	LB	 66468-1-01	BACON, 18/22 SYP 15# GRILL RDY			15	1	15	3.8	3.2	15	1	03/21/2011
1476	2.74	3.34	164.4	200.4		11	1	60	BX	164.4	602232	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			60	4	60	3.34	2.74	60	4	03/21/2011
1476	9.2035	10.07	246.65	269.88		12	1	26.8	PC	246.65	602232	0	10.07	LB	 10009-1-01	BEEF, EXPORT RIB 5 BONE PR			26.8	2	26	10.07	9.2035	26.8	1	03/21/2011
1476	46.95	57	46.95	57		13	1	1	BX	46.95	602232	0	57	BX	 99900-1-01	PEACH PAPER - BY THE CASE			1	1	1	57	46.95	1	1	03/21/2011
1476	15.7354	16.77	1616.65	1722.95		14	1	102.74	BX	1616.65	602232	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			102.74	7	100.63	16.77	15.7354	102.74	7	03/21/2011
1476	0	6.3	0	6.3		16	1	1	BX	0	602232	0	6.3	BX	 77002-1-01	CHILEAN SEA BASS			1	1	1	6.3	0	1	1	03/21/2011
1476	17.9187	19.03	542.94	576.61		17	1	30.3	BX	542.94	602232	0	19.03	LB	 14161-1-01	STRIPSTK, 12-OZ CC NV 1/2" PR			30.3	2	30	19.03	17.9187	30.3	2	03/21/2011
778	17.9187	19.03	2143.1	2275.99		1	1	119.6	BX	2143.1	602233	0	19.03	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2" PR			119.6	8	120	19.03	17.9187	119.6	8	03/21/2011
778	17.9187	19.06	1079.42	1148.17		2	1	60.24	BX	1079.42	602233	0	19.06	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2" PR			60.24	4	60	19.06	17.9187	60.24	4	03/21/2011
778	17.9187	19.06	160.19	170.4		3	1	8.94	BX	160.19	602233	0	19.06	LB	 16084-1-01	BEEF, P-HOUSE 48-OZ MORTON PR			8.94	1	9	19.06	17.9187	8.94	1	03/21/2011
778	16.8708	17.59	984.24	1026.2		4	1	58.34	BX	984.24	602233	0	17.59	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			58.34	4	60	17.59	16.8708	58.34	4	03/21/2011
778	14.4086	15.66	1513.2	1644.61		5	1	105.02	BX	1513.2	602233	0	15.66	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			105.02	7	105	15.66	14.4086	105.02	7	03/21/2011
778	24.5467	25.94	921.97	974.31		6	1	37.56	BX	921.97	602233	0	25.94	LB	 55285-1-01	LAMB, RIB CHOP 6-OZ FRD CH			37.56	3	37.13	25.94	24.5467	37.56	3	03/21/2011
778	8.3165	9.19	136.39	150.72		7	1	16.4	PC	136.39	602233	0	9.19	LB	 12124-1-01	BEEF, EXPORT RIB 14/17 PR			16.4	1	17	9.19	8.3165	16.4	1	03/21/2011
778	5	7.81	66.7	104.19		8	1	13.34	BX	66.7	602233	0	7.81	LB	 32253-1-01	BEEF, TENDER TAIL 1190A CHOICE			13.34	1	12	7.81	5	13.34	1	03/21/2011
778	16.8708	17.59	1747.47	1821.97		9	1	103.58	BX	1747.47	602233	0	17.59	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			103.58	8	102	17.59	16.8708	103.58	8	03/21/2011
778	3.2	3.8	48	57		10	1	15	BX	48	602233	0	3.8	LB	 66468-1-01	BACON, 18/22 SYP 15# GRILL RDY			15	1	15	3.8	3.2	15	1	03/21/2011
778	2.74	3.34	82.2	100.2		11	1	30	BX	82.2	602233	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			30	2	30	3.34	2.74	30	2	03/21/2011
778	9.2035	10.07	128.85	140.98		12	1	14	PC	128.85	602233	0	10.07	LB	 10009-1-01	BEEF, EXPORT RIB 5 BONE PR			14	1	13	10.07	9.2035	14	1	03/21/2011
778	15.7354	16.77	1150.57	1226.22		13	1	73.12	BX	1150.57	602233	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			73.12	5	71.88	16.77	15.7354	73.12	5	03/21/2011
778	15.6356	19.13	462.81	566.25		14	1	29.6	BX	462.81	602233	0	19.13	LB	 34442-1-01	FILET, 16-OZ BI CH MORTONS			29.6	3	30	19.13	15.6356	29.6	3	03/21/2011
778	0	6.3	0	12.6		15	1	2	BX	0	602233	0	6.3	BX	 77002-1-01	CHILEAN SEA BASS			2	2	2	6.3	0	2	2	03/21/2011
778	17.9187	19.03	802.04	851.78		16	1	44.76	BX	802.04	602233	0	19.03	LB	 14161-1-01	STRIPSTK, 12-OZ CC NV 1/2" PR			44.76	3	45	19.03	17.9187	44.76	3	03/21/2011
3039	9.75	11.65	451.43	539.4		1	1	46.3	BX	451.43	602234	0	11.65	LB	 35171-1-01	FILET, 3-OZ 1190A 3/PK			46.3	4	45	11.65	9.75	46.3	4	03/21/2011
3039	13.5369	15.75	627.3	729.86		2	1	46.34	BX	627.3	602234	0	15.75	LB	 35998-1-01	FILET, 10-OZ 1189A FC SK/S ON			46.34	3	45	15.75	13.5369	46.34	3	03/21/2011
3039	7.9167	9.55	176.86	213.35		3	1	22.34	BX	176.86	602234	0	9.55	LB	 34241-1-01	STRIPSTK, 18-OZ CC BI NV 1" CH			22.34	2	22.5	9.55	7.9167	22.34	2	03/21/2011
1421	17.9187	19.03	2401.48	2550.4		1	1	134.02	BX	2401.48	602235	0	19.03	LB	 14254-1-01	STRIPSTK, 20-OZ CC NV 1/2" PR			134.02	9	135	19.03	17.9187	134.02	9	03/21/2011
1421	17.9187	19.06	811.36	863.04		2	1	45.28	BX	811.36	602235	0	19.06	LB	 16061-1-01	BEEF, P-HOUSE 24-OZ 1/2" PR			45.28	3	45	19.06	17.9187	45.28	3	03/21/2011
1421	17.9187	19.06	471.62	501.66		3	1	26.32	BX	471.62	602235	0	19.06	LB	 16084-1-01	BEEF, P-HOUSE 48-OZ MORTON PR			26.32	3	27	19.06	17.9187	26.32	3	03/21/2011
1421	16.8708	17.59	1483.95	1547.22		4	1	87.96	BX	1483.95	602235	0	17.59	LB	 35237-1-01	FILET, 12-OZ 1190 FC CH			87.96	6	90	17.59	16.8708	87.96	6	03/21/2011
1421	14.4086	15.66	1078.35	1171.99		5	1	74.84	BX	1078.35	602235	0	15.66	LB	 15529-1-01	BEEF, RIB EYE 16-OZ 1112 PR			74.84	5	75	15.66	14.4086	74.84	5	03/21/2011
1421	24.5467	25.94	303.4	320.62		6	1	12.36	BX	303.4	602235	0	25.94	LB	 55285-1-01	LAMB, RIB CHOP 6-OZ FRD CH			12.36	1	12.38	25.94	24.5467	12.36	1	03/21/2011
1421	16.8708	17.59	1305.81	1361.47		7	1	77.4	BX	1305.81	602235	0	17.59	LB	 35242-1-01	FILET, 8 1/4 - 8 3/4 24/BX FC			77.4	6	76.5	17.59	16.8708	77.4	6	03/21/2011
1421	2.83	3.82	181.12	244.48		8	1	64	LB	181.12	602235	0	3.82	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			64	64	64	3.82	2.83	64	4	03/21/2011
1421	3.2	3.8	48	57		9	1	15	BX	48	602235	0	3.8	LB	 66468-1-01	BACON, 18/22 SYP 15# GRILL RDY			15	1	15	3.8	3.2	15	1	03/21/2011
1421	2.74	3.34	80.7	100.2		10	1	30	BX	80.7	602235	0	3.34	LB	 66405-1-01	BACON, GUSTO BRAND 15# BX			30	2	30	3.34	2.74	30	2	03/21/2011
1421	9.2035	10.07	254.94	278.94		11	1	27.7	PC	254.94	602235	0	10.07	LB	 10009-1-01	BEEF, EXPORT RIB 5 BONE PR			27.7	2	26	10.07	9.2035	27.7	1	03/21/2011
1421	15.7354	16.77	924.31	985.07		12	1	58.74	BX	924.31	602235	0	16.77	LB	 15726-1-01	BEEF, RIB CHOP 22/24-OZ FRD PR			58.74	4	57.5	16.77	15.7354	58.74	4	03/21/2011
1421	15.6356	19.13	459.06	561.66		13	1	29.36	BX	459.06	602235	0	19.13	LB	 34442-1-01	FILET, 16-OZ BI CH MORTONS			29.36	3	30	19.13	15.6356	29.36	3	03/21/2011
1421	0	4.5	0	4.5		14	1	1	BX	0	602235	0	4.5	BX	 78063-1-01	LOBSTER, TAIL 7/8-OZ WEST AUST			1	1	1	4.5	0	1	1	03/21/2011
