LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType
201103211021	03/21/2011	03/21/2011	8622	 16084-1-01	0025957271	17.9187	1	8.72	11839984	1   	0		3
201103211021	03/21/2011	03/21/2011	8623	 16084-1-01	0025957272	17.9187	1	8.96	11840004	1   	0		3
201103211021	03/21/2011	03/21/2011	8624	 16084-1-01	0025957273	17.9187	1	8.98	11840005	1   	0		3
201103211022	03/21/2011	03/21/2011	8625	 15529-1-01	0025957274	14.4086	1	15.02	11840006	1   	0		3
201103211022	03/21/2011	03/21/2011	8626	 15529-1-01	0025957275	14.4086	1	14.82	11840007	1   	0		3
201103211023	03/21/2011	03/21/2011	8627	 15529-1-01	0025957276	14.4086	1	14.98	11840038	1   	0		3
201103211023	03/21/2011	03/21/2011	8628	 15529-1-01	0025957277	14.4086	1	15.06	11840039	1   	0		3
201103211024	03/21/2011	03/21/2011	2917	 55202-1-01	0000552320	11.4	-1	-5.9	11840040	7340	1	00002564        	4
201103211024	03/21/2011	03/21/2011	3640	 55205-1-01	0000552320	11.4	1	5.9	11840041	7341	1		1
201103211024	03/21/2011	03/21/2011	8629	 16029-1-01	0025957278	13.8167	1	10.28	11840042	1   	0		3
201103211024	03/21/2011	03/21/2011	8630	 16029-1-01	0025957279	13.8167	1	9.98	11840043	1   	0		3
201103211024	03/21/2011	03/21/2011	8631	 16029-1-01	0025957280	13.8167	1	10.22	11840067	1   	0		3
201103211025	03/21/2011	03/21/2011	8632	 15529-1-01	0025957281	14.4086	1	14.96	11840068	1   	0		3
201103211025	03/21/2011	03/21/2011	8633	 15529-1-01	0025957282	14.4086	1	15.26	11840094	1   	0		3
201103211025	03/21/2011	03/21/2011	8634	 16020-1-01	0025957283	16.4265	1	12.54	11840095	1   	0		3
201103211026	03/21/2011	03/21/2011	8635	 15529-1-01	0025957284	14.4086	1	15	11840116	1   	0		3
201103211026	03/21/2011	03/21/2011	8636	 15529-1-01	0025957285	14.4086	1	14.84	11840117	1   	0		3
201103211026	03/21/2011	03/21/2011	8637	 42361-1-01	0025957286	14.93	1	8.86	11840138	1   	0		3
201103211026	03/21/2011	03/21/2011	8638	 42361-1-01	0025957287	14.93	1	8.8	11840139	1   	0		3
201103211026	03/21/2011	03/21/2011	9412	 39901-1-01	0000554028	4.95	1	24.2	11840140	8   	0		3
201103211026	03/21/2011	03/21/2011	8639	 42361-1-01	0025957288	14.93	1	9.18	11840141	1   	0		3
201103211027	03/21/2011	03/21/2011	8640	 42361-1-01	0025957289	14.93	1	8.98	11840142	1   	0		3
201103211027	03/21/2011	03/21/2011	8641	 42361-1-01	0025957290	14.93	1	8.96	11840143	1   	0		3
201103211027	03/21/2011	03/21/2011	9413	 39901-1-01	0000554029	4.95	1	24.5	11840144	8   	0		3
201103211027	03/21/2011	03/21/2011	9414	 31403-1-01	0000554030	4.48	1	12.4	11840165	8   	0		3
201103211028	03/21/2011	03/21/2011	9415	 31342-1-01	0000554031	5.12	1	34.3	11840166	8   	0		3
201103211028	03/21/2011	03/21/2011	9416	 31302-1-01	0000554032	5.12	1	15.7	11840187	8   	0		3
201103211028	03/21/2011	03/21/2011	9417	 31302-1-01	0000554033	5.12	1	16.9	11840188	8   	0		3
201103211029	03/21/2011	03/21/2011	8642	 42103-1-01	0025957291	3.8333	1	40	11840201	1   	0		3
201103211029	03/21/2011	03/21/2011	8643	 42103-1-01	0025957292	3.8333	1	40	11840202	1   	0		3
201103211029	03/21/2011	03/21/2011	8644	 15529-1-01	0025957293	14.4086	1	15.14	11840203	1   	0		3
201103211029	03/21/2011	03/21/2011	8645	 15529-1-01	0025957294	14.4086	1	14.96	11840226	1   	0		3
201103211030	03/21/2011	03/21/2011	8646	 15529-1-01	0025957295	14.4086	1	15.1	11840227	1   	0		3
201103211030	03/21/2011	03/21/2011	8647	 15529-1-01	0025957296	14.4086	1	14.92	11840228	1   	0		3
201103211030	03/21/2011	03/21/2011	8648	 15529-1-01	0025957297	14.4086	1	15	11840251	1   	0		3
201103211030	03/21/2011	03/21/2011	8649	 15529-1-01	0025957298	14.4086	1	15.18	11840252	1   	0		3
201103211030	03/21/2011	03/21/2011	9964	 78114-1-01	11840275  	0	1	1	11840275	101 	0		1
201103211031	03/21/2011	03/21/2011	8650	 14161-1-01	0025957299	17.9187	1	15.04	11840276	1   	0		3
201103211031	03/21/2011	03/21/2011	8651	 14161-1-01	0025957300	17.9187	1	15.04	11840277	1   	0		3
201103211031	03/21/2011	03/21/2011	8652	 14161-1-01	0025957301	17.9187	1	15.12	11840278	1   	0		3
201103211031	03/21/2011	03/21/2011	8653	 14145-1-01	0025957302	4	1	19.14	11840279	1   	0		3
201103211032	03/21/2011	03/21/2011	8654	 14145-1-01	0025957303	4	1	19.06	11840280	1   	0		3
201103211033	03/21/2011	03/21/2011	8983	 78063-1-01	11840281  	0	1	1	11840281	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8984	 78063-1-01	11840282  	0	1	1	11840282	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8985	 78063-1-01	11840283  	0	1	1	11840283	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8986	 78063-1-01	11840284  	0	1	1	11840284	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8987	 78063-1-01	11840285  	0	1	1	11840285	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8988	 78063-1-01	11840286  	0	1	1	11840286	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8989	 78063-1-01	11840287  	0	1	1	11840287	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8990	 78063-1-01	11840288  	0	1	1	11840288	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8991	 78063-1-01	11840289  	0	1	1	11840289	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8992	 78063-1-01	11840290  	0	1	1	11840290	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8993	 78063-1-01	11840291  	0	1	1	11840291	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8994	 78063-1-01	11840292  	0	1	1	11840292	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8995	 78063-1-01	11840293  	0	1	1	11840293	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8996	 78063-1-01	11840294  	0	1	1	11840294	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8997	 78063-1-01	11840295  	0	1	1	11840295	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8998	 78063-1-01	11840296  	0	1	1	11840296	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	8999	 78063-1-01	11840297  	0	1	1	11840297	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9000	 78063-1-01	11840298  	0	1	1	11840298	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9001	 78063-1-01	11840299  	0	1	1	11840299	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9002	 78063-1-01	11840300  	0	1	1	11840300	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9003	 78063-1-01	11840301  	0	1	1	11840301	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9004	 78063-1-01	11840302  	0	1	1	11840302	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9005	 78063-1-01	11840303  	0	1	1	11840303	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9006	 78063-1-01	11840304  	0	1	1	11840304	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9007	 78063-1-01	11840305  	0	1	1	11840305	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9008	 78063-1-01	11840306  	0	1	1	11840306	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9009	 78063-1-01	11840307  	0	1	1	11840307	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9010	 78063-1-01	11840308  	0	1	1	11840308	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9011	 78063-1-01	11840309  	0	1	1	11840309	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9012	 78063-1-01	11840310  	0	1	1	11840310	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9013	 78063-1-01	11840311  	0	1	1	11840311	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9014	 78063-1-01	11840312  	0	1	1	11840312	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9015	 78063-1-01	11840313  	0	1	1	11840313	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9016	 78063-1-01	11840314  	0	1	1	11840314	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9017	 78063-1-01	11840315  	0	1	1	11840315	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9018	 78063-1-01	11840316  	0	1	1	11840316	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9019	 78063-1-01	11840317  	0	1	1	11840317	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9020	 78063-1-01	11840318  	0	1	1	11840318	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9021	 78063-1-01	11840319  	0	1	1	11840319	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9022	 78063-1-01	11840320  	0	1	1	11840320	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9023	 78063-1-01	11840321  	0	1	1	11840321	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9024	 78063-1-01	11840322  	0	1	1	11840322	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9025	 78063-1-01	11840323  	0	1	1	11840323	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9026	 78063-1-01	11840324  	0	1	1	11840324	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9027	 78063-1-01	11840325  	0	1	1	11840325	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9028	 78063-1-01	11840326  	0	1	1	11840326	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9029	 78063-1-01	11840327  	0	1	1	11840327	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9030	 78063-1-01	11840328  	0	1	1	11840328	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9031	 78063-1-01	11840329  	0	1	1	11840329	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9032	 78063-1-01	11840330  	0	1	1	11840330	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9033	 78063-1-01	11840331  	0	1	1	11840331	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9034	 78063-1-01	11840332  	0	1	1	11840332	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9035	 78063-1-01	11840333  	0	1	1	11840333	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9036	 78063-1-01	11840334  	0	1	1	11840334	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9037	 78063-1-01	11840335  	0	1	1	11840335	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9038	 78063-1-01	11840336  	0	1	1	11840336	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9039	 78063-1-01	11840337  	0	1	1	11840337	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9040	 78063-1-01	11840338  	0	1	1	11840338	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9041	 78063-1-01	11840339  	0	1	1	11840339	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9042	 78063-1-01	11840340  	0	1	1	11840340	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9043	 78063-1-01	11840341  	0	1	1	11840341	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9044	 78063-1-01	11840342  	0	1	1	11840342	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9045	 78063-1-01	11840343  	0	1	1	11840343	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9046	 78063-1-01	11840344  	0	1	1	11840344	301 	16055	00003615        	1
201103211033	03/21/2011	03/21/2011	9047	 78063-1-01	11840345  	0	1	1	11840345	301 	16055	00003615        	1
