CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
4136	0	0	0	0		0	2	0		0	593103	0	0		     0-0-00	ADD ON			0	0	0	0	0	0	0	11/12/2010
3266	22.8095	0	1393.2	1457.37		1	1	61.08	BX	1393.2	593104	0	23.86	LB	 39464-1-01	FILET, 7-OZ 1190B CC ANGUS			61.08	6	57.75	23.86	22.8095	61.08	6	11/12/2010
3266	22.8095	0	1185.64	1240.24		2	1	51.98	BX	1185.64	593104	0	23.86	LB	 39466-1-01	FILET, 10-OZ 1190B CC ANGUS			51.98	5	50	23.86	22.8095	51.98	5	11/12/2010
3266	9.0909	0	1073.27	1263.24		3	1	118.06	BX	1073.27	593104	0	10.7	LB	 39304-1-01	STRIPSTK, 14-OZ CC BNLS ANG			118.06	11	115.5	10.7	9.0909	118.06	11	11/12/2010
3266	17.8793	0	720.89	960.83		4	1	40.32	BX	720.89	593104	0	23.83	LB	 38115-1-01	FILET, 10-OZ 1190B CC CH			40.32	4	40	23.83	17.8793	40.32	4	11/12/2010
3266	17.0421	0	348.34	428.83		5	1	20.44	BX	348.34	593104	0	20.98	LB	 42320-1-01	FILET, 10-OZ 1190B CC SEL			20.44	2	20	20.98	17.0421	20.44	2	11/12/2010
3266	4.32	0	100.22	117.39		6	1	23.2	BX	100.22	593104	0	5.06	LB	 31403-1-01	STRIPLOIN, 0X1 BNLS 1/BOX			23.2	2	24	5.06	4.32	23.2	2	11/12/2010
3266	3.3636	0	174.64	211.31		7	1	51.92	BX	174.64	593104	0	4.07	LB	 38411-1-01	BEEF, BALL TIP 8-OZ CH			51.92	5	50	4.07	3.3636	51.92	5	11/12/2010
3266	5.1657	0	578.77	690.17		8	1	112.04	BX	578.77	593104	0	6.16	LB	 35409-1-01	BEEF, CULOTTE 10-OZ 1184D CH			112.04	11	110	6.16	5.1657	112.04	11	11/12/2010
3266	3.5	0	0	-1526.96		1	1	-1	LB	0	593105	-1	1526.96	LB	 34124-1-01	STRIPSTK, 10-OZ VEIN 20/BX  			-1	-1	-1	1526.96	0	0	0	11/12/2010
3266	2.35	0	0	-438.56		2	1	-1	LB	0	593105	-1	438.56	LB	 11526-1-01	BEEF, SHORT LN STRIPS JULIENNE			-1	-1	-1	438.56	0	0	0	11/12/2010
3266	4	0	0	-765.84		3	1	-1	LB	0	593105	-1	765.84	LB	 35555-1-01	BEEF, RIB EYE 8-OZ FROZEN CH			-1	-1	-1	765.84	0	0	0	11/12/2010
3266	3.5	0	0	-617.25		4	1	-1	LB	0	593105	-1	617.25	LB	 36831-1-01	BEEF, VEIN STK 12-OZ USFOOD CH			-1	-1	-1	617.25	0	0	0	11/12/2010
3266	0	0	0	0		0	2	0		0	593105	0	0		     0-0-00	REFER TO INVVOICE 592617	RA-00813 PRICING		0	0	0	0	0	0	0	11/12/2010
417	8.56	9.3	5549.44	6029.19		1	1	648.3	BX	5549.44	593106	0	9.3	LB	 32206-1-01	BEEF,TENDER 6/UP DEL FRISCO			648.3	8	576	9.3	8.56	648.3	8	11/12/2010
417	9.08	9.95	1521.81	1642.48		2	1	167.6	BX	1521.81	593106	0	9.8	LB	 11316-1-01	BEEF, RIB EYE 12/15 2"LIP PR			167.6	2	168	9.8	9.08	167.6	2	11/12/2010
417	10.5	11.15	1419.6	1507.48		3	1	135.2	BX	1419.6	593106	0	11.15	LB	 11397-1-01	STRIPLOIN, 0X1 BNLS DEL FRISCO			135.2	2	132	11.15	10.5	135.2	2	11/12/2010
417	18.5184	20.45	569.99	614.06		4	1	30.78	BX	569.99	593106	0	19.95	LB	 16059-1-01	BEEF, P-HOUSE 24-OZ CC NV PR			30.78	2	30	19.95	18.5184	30.78	2	11/12/2010
417	14.1968	20.95	577.53	852.25		5	1	40.68	BX	577.53	593106	0	20.95	LB	 35081-1-01	FILET, 16-OZ BI CH DEL FRISCO			40.68	4	40	20.95	14.1968	40.68	4	11/12/2010
417	16.8829	18.45	684.43	727.69		6	1	40.54	BX	684.43	593106	0	17.95	LB	 15542-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			40.54	3	41.25	17.95	16.8829	40.54	3	11/12/2010
417	14.45	16.25	110.54	124.31		7	1	7.65	BX	110.54	593106	0	16.25	LB	 15711-1-01	BEEF, RIB CHOP 30/32-OZ			7.65	1	8	16.25	14.45	7.65	1	11/12/2010
417	8.58	9.95	299.45	347.26		8	1	34.9	BX	299.45	593106	0	9.95	LB	 56804-1-01	VEAL, 3" OSSO BUCO PROVIMI			34.9	3	30	9.95	8.58	34.9	3	11/12/2010
417	16.9	16.95	321.1	322.05		9	1	19	BX	321.1	593106	0	16.95	LB	 55127-1-01	LAMB, RACK 9-RIB FR'D CAP OFF			19	1	10	16.95	16.9	19	1	11/12/2010
417	2.93	3.4	42.45	51		10	1	15	BX	42.45	593106	0	3.4	LB	 43703-1-01	GROUND BEEF, PATTY 10-OZ 75/25			15	1	15	3.4	2.93	15	1	11/12/2010
417	5.3763	0	19.14	21.18		11	1	3.56	PC	19.14	593106	0	5.95	LB	 35094-1-01	BEEF, 10-OZ CHK SHORT RIB BNLS			3.56	6	3.75	5.95	5.3763	3.56	1	11/12/2010
3266	0	0	0	0		0	2	0		0	593107	0	0		     0-0-00	SPECIAL INCENTIVE PROGRAM	PER WILL REFER TO INVOICE	588881	0	0	0	0	0	0	0	11/12/2010
748	16.4849	17.5	-453.33	-481.25		1	1	-27.5	LB	0	593108	0	0	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-27.5	-27.5	-27.5	17.5	16.4849	0	0	11/12/2010
748	22.4722	23.45	-109.66	-114.44		2	1	-4.88	LB	0	593108	0	0	LB	 14114-1-01	STRIPSTK, 13-OZ CC NV 1" PR			-4.88	-4.88	-4.88	23.45	22.4722	0	0	11/12/2010
