CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
1305	4.7	5.48	8044.99	9380.12		1	1	1711.7	PC	8044.99	602183	0	5.48	LB	 22126-1-01	BEEF, EXPORT RIB C.A.B.			1711.7	100	1600	5.48	4.7	1711.7	25	03/21/2011
3680	4.3571	6.85	44.44	69.87		1	1	10.2	BX	44.44	602184	0	6.85	LB	 66233-1-01	PORK, CHOP 8-OZ 20/BX CC			10.2	1	10	6.85	4.3571	10.2	1	03/21/2011
3680	8.07	0	614.93	781.05		2	1	76.2	BX	614.93	602184	0	10.25	LB	 32208-1-01	TENDERS, 6/UP 189A 12/CS CH			76.2	1	72	10.25	8.07	76.2	1	03/21/2011
3680	2.48	0	262.39	312.11		3	1	105.8	BX	262.39	602184	0	2.95	LB	 31008-1-01	BEEF, INSIDE ROUND CH	( SEND 4 PIECES ONLY )		105.8	4	80	2.95	2.48	105.8	4	03/21/2011
3680	5.02	6.3	290.66	364.77		4	1	57.9	PC	290.66	602184	0	6.3	LB	 31328-1-01	BEEF, RIB EYE 12/15 2" LIP CH			57.9	4	60	6.3	5.02	57.9	1	03/21/2011
3680	2.52	2.8	80.64	91.2		5	1	32	BX	80.64	602184	0	2.85	LB	 43695-1-01	GROUND BEEF, PATTY 8-OZ 80/20			32	2	32	2.85	2.52	32	2	03/21/2011
3691	14.59	16.6	29.18	33.2		1	1	2	BX	29.18	602185	0	16.6	BX	 99005-1-01	PEACHES & CREAM CORN 104795			2	2	2	16.6	14.59	2	2	03/21/2011
3691	4.28	4.55	128.4	136.5		2	1	30	BX	128.4	602185	0	4.55	LB	 66251-1-01	BACON, BITS			30	3	30	4.55	4.28	30	3	03/21/2011
3691	14.93	16.95	933.13	1059.38		3	1	62.5	BX	933.13	602185	0	16.95	LB	 42363-1-01	FILET, 10-OZ 1190 WILDFIRE SEL			62.5	5	62.5	16.95	14.93	62.5	5	03/21/2011
3691	4.55	8.45	41.5	77.06		4	1	9.12	BX	41.5	602185	0	8.45	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			9.12	1	10	8.45	4.55	9.12	1	03/21/2011
3691	14.93	16.95	131.98	149.84		5	1	8.84	BX	131.98	602185	0	16.95	LB	 42361-1-01	FILET, 7-OZ 1190 WILDFIRE SEL			8.84	1	8.75	16.95	14.93	8.84	1	03/21/2011
3691	9.75	11.25	108.42	125.1		6	1	11.12	BX	108.42	602185	0	11.25	LB	 35170-1-01	FILET, 3-OZ 1190A 3/PK			11.12	1	11.25	11.25	9.75	11.12	1	03/21/2011
3691	7.5	10.5	133.35	186.69		7	1	17.78	BX	133.35	602185	0	10.5	LB	 34190-1-01	STRIPSTK, 14-OZ CC BNLS			17.78	2	17.5	10.5	7.5	17.78	2	03/21/2011
3691	8.7207	11.5	316.22	416.99		8	1	36.26	BX	316.22	602185	0	11.5	LB	 35712-1-01	BEEF, RIB CHOP 18/20 OZ BI CH			36.26	3	33.75	11.5	8.7207	36.26	3	03/21/2011
3691	5.02	6.1	154.11	187.27		9	1	30.7	PC	154.11	602185	0	6.1	LB	 31333-1-01	BEEF, RIB EYE 2" 13 1/2 UP CH			30.7	2	27	6.1	5.02	30.7	1	03/21/2011
3691	3.34	3.9	100.2	117		10	1	30	BX	100.2	602185	0	3.9	LB	 66465-1-01	BACON, 14/17 15# BOX FROZEN			30	2	30	3.9	3.34	30	2	03/21/2011
3691	10.0677	11.2	263.77	293.44		11	1	26.2	BX	263.77	602185	0	11.2	LB	 35959-1-01	BEEF, SKIRT STEAK 14-OZ CC			26.2	3	26.25	11.2	10.0677	26.2	3	03/21/2011
3691	7	8.5	92.12	111.86		12	1	13.16	BX	92.12	602185	0	8.5	LB	 32247-1-01	BEEF, TENDER TAILS 1190A CH			13.16	1	12	8.5	7	13.16	1	03/21/2011
3691	12.0622	13.9	65.86	75.89		13	1	5.46	BX	65.86	602185	0	13.9	LB	 55256-1-01	LAMB, P-HOUSE 6-OZ NT CH			5.46	1	5.6	13.9	12.0622	5.46	1	03/21/2011
3691	2.55	2.75	20.4	22		14	1	8	PC	20.4	602185	0	2.75	LB	 66634-1-01	PORK, LOIN BNLS LIP OFF			8	1	5	2.75	2.55	8	1	03/21/2011
3691	2.52	2.69	40.32	43.04		15	1	16	BX	40.32	602185	0	2.69	LB	 43695-1-01	GROUND BEEF, PATTY 8-OZ 80/20			16	1	16	2.69	2.52	16	1	03/21/2011
3691	6.95	8.05	90.35	104.65		16	1	13	LB	90.35	602185	0	8.05	LB	 44205-1-01	BEEF, BNLS SHORT RIB 123D NVL			13	10	10	8.05	6.95	13	1	03/21/2011
3691	9.2508	11.95	92.14	119.02		17	1	9.96	BX	92.14	602185	0	11.95	LB	 34139-1-01	STRIPSTK, 16-OZ CC CH			9.96	1	10	11.95	9.2508	9.96	1	03/21/2011
71	14.59	16.6	14.59	16.6		1	1	1	BX	14.59	602186	0	16.6	BX	 99005-1-01	PEACHES & CREAM CORN 104795			1	1	1	16.6	14.59	1	1	03/21/2011
71	8.7207	11.5	213.14	281.06		2	1	24.44	BX	213.14	602186	0	11.5	LB	 35712-1-01	BEEF, RIB CHOP 18/20 OZ BI CH			24.44	2	22.5	11.5	8.7207	24.44	2	03/21/2011
71	10.0677	11.2	261.16	290.53		3	1	25.94	BX	261.16	602186	0	11.2	LB	 35959-1-01	BEEF, SKIRT STEAK 14-OZ CC			25.94	3	26.25	11.2	10.0677	25.94	3	03/21/2011
71	6.8833	9.95	94.71	136.91		4	1	13.76	BX	94.71	602186	0	9.95	LB	 36058-1-01	BEEF, P-HOUSE 22-OZ 1" CH			13.76	1	13.75	9.95	6.8833	13.76	1	03/21/2011
71	7.5	10.5	65.55	91.77		5	1	8.74	BX	65.55	602186	0	10.5	LB	 34190-1-01	STRIPSTK, 14-OZ CC BNLS			8.74	1	8.75	10.5	7.5	8.74	1	03/21/2011
71	14.93	16.95	753.67	855.64		6	1	50.48	BX	753.67	602186	0	16.95	LB	 42363-1-01	FILET, 10-OZ 1190 WILDFIRE SEL			50.48	4	50	16.95	14.93	50.48	4	03/21/2011
71	7	8.5	186.06	225.93		7	1	26.58	BX	186.06	602186	0	8.5	LB	 32247-1-01	BEEF, TENDER TAILS 1190A CH			26.58	2	24	8.5	7	26.58	2	03/21/2011
71	7.5	10.5	77.4	108.36		8	1	10.32	BX	77.4	602186	0	10.5	LB	 34323-1-01	STRIPSTK, 8-OZ CC BNLS 1" CH			10.32	1	10	10.5	7.5	10.32	1	03/21/2011
71	15.6356	19.7	146.35	184.39		9	1	9.36	BX	146.35	602186	0	19.7	LB	 34953-1-01	FILET, 15-OZ BI CH WILDFIRE			9.36	1	9.38	19.7	15.6356	9.36	1	03/21/2011
71	2.52	2.69	40.32	43.04		10	1	16	BX	40.32	602186	0	2.69	LB	 43695-1-01	GROUND BEEF, PATTY 8-OZ 80/20			16	1	16	2.69	2.52	16	1	03/21/2011
71	2.52	2.69	70.56	75.32		11	1	28	BX	70.56	602186	0	2.69	LB	 43692-1-01	GROUND BEEF, PATTY 4-OZ 80/20			28	2	28	2.69	2.52	28	2	03/21/2011
71	4.28	4.55	85.6	91		12	1	20	BX	85.6	602186	0	4.55	LB	 66251-1-01	BACON, BITS			20	2	20	4.55	4.28	20	2	03/21/2011
71	5.02	6.1	407.62	495.32		13	1	81.2	BX	407.62	602186	0	6.1	LB	 31333-1-01	BEEF, RIB EYE 2" 13 1/2 UP CH			81.2	1	67.5	6.1	5.02	81.2	1	03/21/2011
71	3.65	3.95	226.67	245.3		14	1	62.1	BX	226.67	602186	0	3.95	LB	 66512-1-01	PORK, BACKRIBS 1 3/4DN SKD			62.1	2	60	3.95	3.65	62.1	2	03/21/2011
71	2.55	2.75	85.17	91.85		15	1	33.4	PC	85.17	602186	0	2.75	LB	 66634-1-01	PORK, LOIN BNLS LIP OFF			33.4	4	20	2.75	2.55	33.4	1	03/21/2011
71	4.55	8.45	41.13	76.39		16	1	9.04	BX	41.13	602186	0	8.45	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			9.04	1	10	8.45	4.55	9.04	1	03/21/2011
71	6.95	8.05	159.16	184.35		17	1	22.9	LB	159.16	602186	0	8.05	LB	 44205-1-01	BEEF, BNLS SHORT RIB 123D NVL			22.9	20	20	8.05	6.95	22.9	1	03/21/2011
71	9.2508	11.95	95.1	122.85		18	1	10.28	BX	95.1	602186	0	11.95	LB	 34139-1-01	STRIPSTK, 16-OZ CC CH			10.28	1	10	11.95	9.2508	10.28	1	03/21/2011
1422	8.5	0	-442.51	-518		1	1	-52.06	LB	0	602187	0	9.95	LB	 34188-1-01	STRIPSTK, 14-OZ CC NO VN 1"CH			-52.06	-52.06	-52.06	9.95	8.5	0	0	03/21/2011
1422	0	0	0	0		0	2	0		0	602187	0	0		     0-0-00	REFER TO 599352 ITEM WAS OVER FILLED	RA-01362		0	0	0	0	0	0	0	03/21/2011
4162	4.3571	0	133.42	182.19		1	1	30.62	BX	133.42	602188	0	5.95	LB	 66231-1-01	PORK, CHOP 8-OZ CC SEMI BNLS			30.62	3	30	5.95	4.3571	30.62	3	03/21/2011
